[84, array([0.5482, 0.0096]), array([0.54685, 0.0062 ]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54715476, 0.00650476]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54730714, 0.00650476]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.54745952, 0.00650476]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.5476119 , 0.00650476]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.54776429, 0.00650476]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.54791667, 0.00650476]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.54806905, 0.00650476]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.54822143, 0.00650476]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.54837381, 0.00650476]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.54852619, 0.00650476]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.54867857, 0.00650476]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54883095, 0.00650476]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54898333, 0.00650476]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54913571, 0.00650476]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.5492881 , 0.00650476]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54944048, 0.00650476]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.54959286, 0.00650476]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.54974524, 0.00650476]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.54989762, 0.00650476]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.55005   , 0.00650476]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54685   , 0.00665714]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54700238, 0.00665714]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54715476, 0.00665714]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54730714, 0.00665714]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.54745952, 0.00665714]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.5476119 , 0.00665714]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.54776429, 0.00665714]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.54791667, 0.00665714]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.54806905, 0.00665714]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.54822143, 0.00665714]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.54837381, 0.00665714]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.54852619, 0.00665714]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54867857, 0.00665714]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54883095, 0.00665714]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54898333, 0.00665714]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54913571, 0.00665714]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.5492881 , 0.00665714]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54944048, 0.00665714]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.54959286, 0.00665714]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.54974524, 0.00665714]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54989762, 0.00665714]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.55005   , 0.00665714]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.54685   , 0.00680952]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54700238, 0.00680952]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54715476, 0.00680952]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54730714, 0.00680952]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.54745952, 0.00680952]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.5476119 , 0.00680952]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.54776429, 0.00680952]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.54791667, 0.00680952]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.54806905, 0.00680952]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.54822143, 0.00680952]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.54837381, 0.00680952]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54852619, 0.00680952]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54867857, 0.00680952]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54883095, 0.00680952]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54898333, 0.00680952]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54913571, 0.00680952]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.5492881 , 0.00680952]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54944048, 0.00680952]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.54959286, 0.00680952]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54974524, 0.00680952]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54989762, 0.00680952]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.55005   , 0.00680952]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.54685  , 0.0069619]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54700238, 0.0069619 ]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54715476, 0.0069619 ]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54730714, 0.0069619 ]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.54745952, 0.0069619 ]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.5476119, 0.0069619]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.54776429, 0.0069619 ]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.54791667, 0.0069619 ]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.54806905, 0.0069619 ]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.54822143, 0.0069619 ]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54837381, 0.0069619 ]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54852619, 0.0069619 ]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54867857, 0.0069619 ]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54883095, 0.0069619 ]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54898333, 0.0069619 ]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54913571, 0.0069619 ]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.5492881, 0.0069619]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54944048, 0.0069619 ]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54959286, 0.0069619 ]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54974524, 0.0069619 ]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54989762, 0.0069619 ]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.55005  , 0.0069619]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.54685   , 0.00711429]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54700238, 0.00711429]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54715476, 0.00711429]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54730714, 0.00711429]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.54745952, 0.00711429]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.5476119 , 0.00711429]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.54776429, 0.00711429]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.54791667, 0.00711429]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.54806905, 0.00711429]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54822143, 0.00711429]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54837381, 0.00711429]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54852619, 0.00711429]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54867857, 0.00711429]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54883095, 0.00711429]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54898333, 0.00711429]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54913571, 0.00711429]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.5492881 , 0.00711429]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54944048, 0.00711429]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54959286, 0.00711429]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54974524, 0.00711429]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.54989762, 0.00711429]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.55005   , 0.00711429]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.54685   , 0.00726667]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54700238, 0.00726667]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54715476, 0.00726667]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54730714, 0.00726667]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54745952, 0.00726667]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.5476119 , 0.00726667]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.54776429, 0.00726667]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.54791667, 0.00726667]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54806905, 0.00726667]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54822143, 0.00726667]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54837381, 0.00726667]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54852619, 0.00726667]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54867857, 0.00726667]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54883095, 0.00726667]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54898333, 0.00726667]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54913571, 0.00726667]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.5492881 , 0.00726667]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54944048, 0.00726667]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54959286, 0.00726667]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54974524, 0.00726667]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.54989762, 0.00726667]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.55005   , 0.00726667]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.54685   , 0.00741905]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54700238, 0.00741905]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54715476, 0.00741905]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54730714, 0.00741905]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54745952, 0.00741905]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.5476119 , 0.00741905]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.54776429, 0.00741905]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54791667, 0.00741905]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54806905, 0.00741905]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54822143, 0.00741905]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54837381, 0.00741905]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54852619, 0.00741905]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54867857, 0.00741905]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54883095, 0.00741905]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54898333, 0.00741905]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54913571, 0.00741905]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.5492881 , 0.00741905]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54944048, 0.00741905]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54959286, 0.00741905]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.54974524, 0.00741905]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.54989762, 0.00741905]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.55005   , 0.00741905]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.54685   , 0.00757143]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54700238, 0.00757143]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54715476, 0.00757143]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54730714, 0.00757143]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54745952, 0.00757143]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.5476119 , 0.00757143]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54776429, 0.00757143]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54791667, 0.00757143]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54806905, 0.00757143]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54822143, 0.00757143]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54837381, 0.00757143]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54852619, 0.00757143]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54867857, 0.00757143]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54883095, 0.00757143]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54898333, 0.00757143]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54913571, 0.00757143]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.5492881 , 0.00757143]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54944048, 0.00757143]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54959286, 0.00757143]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.54974524, 0.00757143]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.54989762, 0.00757143]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.55005   , 0.00757143]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.54685   , 0.00772381]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54700238, 0.00772381]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54715476, 0.00772381]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54730714, 0.00772381]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54745952, 0.00772381]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.5476119 , 0.00772381]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54776429, 0.00772381]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54791667, 0.00772381]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54806905, 0.00772381]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54822143, 0.00772381]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54837381, 0.00772381]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54852619, 0.00772381]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54867857, 0.00772381]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54883095, 0.00772381]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54898333, 0.00772381]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54913571, 0.00772381]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.5492881 , 0.00772381]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54944048, 0.00772381]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.54959286, 0.00772381]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.54974524, 0.00772381]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.54989762, 0.00772381]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.55005   , 0.00772381]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.54685   , 0.00787619]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54700238, 0.00787619]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54715476, 0.00787619]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54730714, 0.00787619]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54745952, 0.00787619]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.5476119 , 0.00787619]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54776429, 0.00787619]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54791667, 0.00787619]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54806905, 0.00787619]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54822143, 0.00787619]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54837381, 0.00787619]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54852619, 0.00787619]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54867857, 0.00787619]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54883095, 0.00787619]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54898333, 0.00787619]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54913571, 0.00787619]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.5492881 , 0.00787619]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54944048, 0.00787619]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54959286, 0.00787619]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.54974524, 0.00787619]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.54989762, 0.00787619]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.55005   , 0.00787619]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.54685   , 0.00802857]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54700238, 0.00802857]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.54715476, 0.00802857]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54730714, 0.00802857]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54745952, 0.00802857]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.5476119 , 0.00802857]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54776429, 0.00802857]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54791667, 0.00802857]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54806905, 0.00802857]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54822143, 0.00802857]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54837381, 0.00802857]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54852619, 0.00802857]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54867857, 0.00802857]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54883095, 0.00802857]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54898333, 0.00802857]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54913571, 0.00802857]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.5492881 , 0.00802857]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54944048, 0.00802857]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54959286, 0.00802857]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.54974524, 0.00802857]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.54989762, 0.00802857]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.55005   , 0.00802857]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.54685   , 0.00818095]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.54700238, 0.00818095]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.54715476, 0.00818095]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.54730714, 0.00818095]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54745952, 0.00818095]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.5476119 , 0.00818095]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54776429, 0.00818095]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54791667, 0.00818095]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54806905, 0.00818095]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54822143, 0.00818095]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54837381, 0.00818095]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54852619, 0.00818095]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54867857, 0.00818095]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54883095, 0.00818095]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54898333, 0.00818095]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54913571, 0.00818095]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.5492881 , 0.00818095]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54944048, 0.00818095]), 0.7854, 1.0]
[84, array([0.5482, 0.0096]), array([0.54959286, 0.00818095]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.54974524, 0.00818095]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.54989762, 0.00818095]), 0.7854, 0.0]
[84, array([0.5482, 0.0096]), array([0.55005   , 0.00818095]), 0.7854, 1.0]
